"Id","Time","Text","Favourites","Retweets","Total Mentions","URL"
"1017257460740997121","Thu Jul 12 04:00:53 +0000 2018","FFS stop with the www already","2","1","3","https://twitter.com/i/web/status/1017257460740997121"
"1016337461465710592","Mon Jul 09 15:05:08 +0000 2018","FFS Believe Your People. Think it can't possibly be ""that bad"" to be a woman or URM at your company? When was the l… https://t.co/Nc2R3W8mpk","5","1","6","https://twitter.com/i/web/status/1016337461465710592"
"1017334991913672704","Thu Jul 12 09:08:57 +0000 2018","FFS most of the writing on Pair Programming has been about how to compensate for its problems. Mobbin… https://t.co/yyTDQ351DL","5","2","7","https://twitter.com/i/web/status/1017334991913672704"
"1016420023538241538","Mon Jul 09 20:33:12 +0000 2018","FFS why does a single organisation need 10 different ways of messaging?  Skype, Zoom, Slack, Email, SMS, WhatsApp,… https://t.co/TPgDnavjNU","16","1","17","https://twitter.com/i/web/status/1016420023538241538"
"1016407331968561152","Mon Jul 09 19:42:46 +0000 2018","FFS stop writing bugs","0","1","1","https://twitter.com/i/web/status/1016407331968561152"
"1016360256203575296","Mon Jul 09 16:35:42 +0000 2018","FFS - stop w/ the unneeded complexity! There's already enough kruft to go around. No need to add to it!","2","2","4","https://twitter.com/i/web/status/1016360256203575296"
"1016080506264412161","Sun Jul 08 22:04:05 +0000 2018","FFS gzip is so expensive","0","0","0","https://twitter.com/i/web/status/1016080506264412161"
"1016407104683274240","Mon Jul 09 19:41:52 +0000 2018","FFS, stop blaming open source for your rubbish infosec &amp; update practices.","8","2","10","https://twitter.com/i/web/status/1016407104683274240"
"1015643165372510208","Sat Jul 07 17:06:15 +0000 2018","FFS Stop shafting users by conforming to out-of-touch top down policies! No, I *still* don't want to t… https://t.co/U9u1mRxDO9","0","0","0","https://twitter.com/i/web/status/1015643165372510208"
"1015603012688138240","Sat Jul 07 14:26:41 +0000 2018","FFS workflow is an emergent property of the system, not an organisational principle","4","2","6","https://twitter.com/i/web/status/1015603012688138240"
"1016072520821116928","Sun Jul 08 21:32:21 +0000 2018","FFS, it doesn't matter what you do with data, unless the #metadata is  current, complete, and correct. Your cool ne… https://t.co/Kx4bRNGud8","15","3","18","https://twitter.com/i/web/status/1016072520821116928"
"1016066505509867522","Sun Jul 08 21:08:27 +0000 2018","FFS you don't actually need a degree to be great at machine learning","8","2","10","https://twitter.com/i/web/status/1016066505509867522"
"1016326707664564224","Mon Jul 09 14:22:24 +0000 2018","FFS What even is DevOps? Is it a Philosophy? Is it a set of tools? My submission for","8","1","9","https://twitter.com/i/web/status/1016326707664564224"
"1017328273083289601","Thu Jul 12 08:42:16 +0000 2018","FFS fix EVERYTHING that your users complain about. And remember that sometimes the fix is not in the software.","5","2","7","https://twitter.com/i/web/status/1017328273083289601"
"1016406218435264512","Mon Jul 09 19:38:21 +0000 2018","FFS, your cloud provider dropping everything on the floor for days is orders of magnitude less likely than your ter… https://t.co/lm4R93nfyf","29","7","36","https://twitter.com/i/web/status/1016406218435264512"
"1015573311957426176","Sat Jul 07 12:28:40 +0000 2018","stop saying “unless we have any problems”. Of course we will have problems","8","4","12","https://twitter.com/i/web/status/1015573311957426176"
"1016285951037825026","Mon Jul 09 11:40:27 +0000 2018","FFS, learn to threat model instead of applying the same security controls that fail over and over because « it’s be… https://t.co/OnoBHjn90l","4","3","7","https://twitter.com/i/web/status/1016285951037825026"
"1016692207343022081","Tue Jul 10 14:34:46 +0000 2018","FFS running your software on the most modern stack, using state of the art tools does not mean your product is any… https://t.co/io78WtMdoI","13","2","15","https://twitter.com/i/web/status/1016692207343022081"
"1015556709123788801","Sat Jul 07 11:22:42 +0000 2018","FFS microservices","0","0","0","https://twitter.com/i/web/status/1015556709123788801"
"1017422024485036033","Thu Jul 12 14:54:48 +0000 2018","FFS Stop Calling Your CRUD-over-HTTP API ""REST"" https://t.co/N1I50mIALg","24","8","32","https://twitter.com/i/web/status/1017422024485036033"
"1015972591285231617","Sun Jul 08 14:55:16 +0000 2018","FFS and for the last effing time, stop versionning your IDE configuration files with your project. I dare you, I do… https://t.co/PXvWCoMY1q","4","2","6","https://twitter.com/i/web/status/1015972591285231617"
"1016562830345195520","Tue Jul 10 06:00:40 +0000 2018","FFS If you're not writing any level of automated tests along with your code that's not some 'good fight' stance aga… https://t.co/IyVUKArGZf","5","2","7","https://twitter.com/i/web/status/1016562830345195520"
"1017308586786066434","Thu Jul 12 07:24:02 +0000 2018","FFS stop using Windows for software development","0","1","1","https://twitter.com/i/web/status/1017308586786066434"
"1015581394666319872","Sat Jul 07 13:00:47 +0000 2018","FFS JavaScript running on the server is NOT the end of the fucking world.  https://t.co/pRsKM2tXHj","1","1","2","https://twitter.com/i/web/status/1015581394666319872"
"1016197795189944320","Mon Jul 09 05:50:09 +0000 2018","FFS there is no database system that will magically make your product.""

""FFS, yes your code is wrong, but that's… https://t.co/qpNFaVvqnt","0","1","1","https://twitter.com/i/web/status/1016197795189944320"
"1015560170594856960","Sat Jul 07 11:36:27 +0000 2018","FFS timezones","5","1","6","https://twitter.com/i/web/status/1015560170594856960"
"1015956324960604160","Sun Jul 08 13:50:38 +0000 2018","FFS you don’t have firmware updates","2","1","3","https://twitter.com/i/web/status/1015956324960604160"
"1017796292410474497","Fri Jul 13 15:42:00 +0000 2018","FFS, Continuous Integration isn't running a ""CI tool""—it's putting together ALL the changes made to your code base,… https://t.co/z2VTJI6nSL","7","2","9","https://twitter.com/i/web/status/1017796292410474497"
"1016402121686683648","Mon Jul 09 19:22:04 +0000 2018","How’s about “FFS, you don’t need a ****ing blockchain for that” #ffstechconf https://t.co/vPSmBXkYfz","27","7","34","https://twitter.com/i/web/status/1016402121686683648"
"1015965813604536320","Sun Jul 08 14:28:20 +0000 2018","FFS The central practice is “Continuous Delivery” not “DevOps”","33","7","40","https://twitter.com/i/web/status/1015965813604536320"
"1016074261587374081","Sun Jul 08 21:39:16 +0000 2018","FFS when you say “X is slow” you need to provide metrics around current and expected performance levels  https://t.co/0UOHqGLgjL","3","1","4","https://twitter.com/i/web/status/1016074261587374081"
"1016231689012547584","Mon Jul 09 08:04:49 +0000 2018","FFS, that rewrite in that new language isn't going to make going to make it scale, because you still s… https://t.co/tNiTEyWnpE","3","1","4","https://twitter.com/i/web/status/1016231689012547584"
"1015643633155010561","Sat Jul 07 17:08:06 +0000 2018","FFS learn how to edit text like a professional","0","0","0","https://twitter.com/i/web/status/1015643633155010561"
"1015996247549751296","Sun Jul 08 16:29:16 +0000 2018","FFS tech companies, and tech company leadership, y'all have GOT to start talking more openly about issues of race i… https://t.co/EkaSgBaI5G","19","5","24","https://twitter.com/i/web/status/1015996247549751296"
"1016463952635617281","Mon Jul 09 23:27:45 +0000 2018","FFS Internet Buttplugs.  https://t.co/lBxh9yepNT","0","0","0","https://twitter.com/i/web/status/1016463952635617281"
"1015581169700802561","Sat Jul 07 12:59:54 +0000 2018","FFS are you seriously making another *task* management system  - see comment on https://t.co/JOWk0GSpiW for context","5","1","6","https://twitter.com/i/web/status/1015581169700802561"
"1016012809740738561","Sun Jul 08 17:35:05 +0000 2018","FFS - covering a wall in post it notes does not make you ""Agile","54","9","63","https://twitter.com/i/web/status/1016012809740738561"
"1015970974255276033","Sun Jul 08 14:48:50 +0000 2018","FFS stop pushing 'red commits' to master because: ""the tests take to much time to run"", if what you want to push is… https://t.co/V0dmf7X5cJ","3","2","5","https://twitter.com/i/web/status/1015970974255276033"
"1016247485658955776","Mon Jul 09 09:07:36 +0000 2018","FFS, enough with this pull-request OSS theatre on internal, co-located teams. Develop in trunk!","2","2","4","https://twitter.com/i/web/status/1016247485658955776"
"1016327741745049601","Mon Jul 09 14:26:30 +0000 2018","DevOps is not a job title, it's a culture. And no one agrees on exactly what it is","5","3","8","https://twitter.com/i/web/status/1016327741745049601"
"1016230626050170885","Mon Jul 09 08:00:36 +0000 2018","FFS older people arn't all tech morons who are sad, chronically ill, socially isolated, lonely, unable… https://t.co/5TrtZJlGcn","8","2","10","https://twitter.com/i/web/status/1016230626050170885"
"1016705022678233088","Tue Jul 10 15:25:41 +0000 2018","FFS Java Isn't That Bad. Java gets a lot of hate and, as a Java developer, i… https://t.co/wIFpvJeD9f","7","1","8","https://twitter.com/i/web/status/1016705022678233088"
"1015681880639836160","Sat Jul 07 19:40:05 +0000 2018","FFS Stop Hiring Clones of Yourself!

 

https://t.co/ez7kpzkxs9","16","4","20","https://twitter.com/i/web/status/1015681880639836160"
"1017176146381819905","Wed Jul 11 22:37:46 +0000 2018","FFS when someone is in the process of helping you, don't violate Wheaton's rule.","2","1","3","https://twitter.com/i/web/status/1017176146381819905"
"1016376039201755137","Mon Jul 09 17:38:25 +0000 2018","FFS... There's no such thing as ""best practice"", only tradeoffs that are appropriate in some places and not others.… https://t.co/MxS1K0yvpP","2","0","2","https://twitter.com/i/web/status/1016376039201755137"
"1016596508328779777","Tue Jul 10 08:14:29 +0000 2018","FFS you've built a beautiful cluster of 1000 API servers to move less data than one pin on a PCIe slot","7","1","8","https://twitter.com/i/web/status/1016596508328779777"
"1015622359078797312","Sat Jul 07 15:43:34 +0000 2018","FFS push it to master","9","2","11","https://twitter.com/i/web/status/1015622359078797312"
"1016464416328638464","Mon Jul 09 23:29:36 +0000 2018","FFS you used to be able to teach yourself web development with ""view source"". Why has the barrier to entry become so high?","29","9","38","https://twitter.com/i/web/status/1016464416328638464"
"1017782762948964353","Fri Jul 13 14:48:14 +0000 2018","FFS stop siloing 'front end' and 'back end' development! It's all development! Collaborate, FFS!","25","6","31","https://twitter.com/i/web/status/1017782762948964353"
"1016094123030392832","Sun Jul 08 22:58:11 +0000 2018","FFS... stop calling yourself a fullstack developer unless you can start with a bag of 74 series logic,… https://t.co/ogx0fXxkzJ","1","1","2","https://twitter.com/i/web/status/1016094123030392832"
"1017449836260491264","Thu Jul 12 16:45:18 +0000 2018","FFS Programming Language implementors, this is the third time round the loop, read some F-ing CACM and PLDI papers… https://t.co/5QP9rF2f0J","6","3","9","https://twitter.com/i/web/status/1017449836260491264"
"1015541731385860097","Sat Jul 07 10:23:11 +0000 2018","FFS think about the costs when you build or change a system, that's your job","1","1","2","https://twitter.com/i/web/status/1015541731385860097"
"1015710994826268672","Sat Jul 07 21:35:46 +0000 2018","FFS The browser and everything in it is wrong. We've ruined software engineering for generations to come.","0","0","0","https://twitter.com/i/web/status/1015710994826268672"
"1015566034344898562","Sat Jul 07 11:59:45 +0000 2018","FFS no, I don't want your damn notifications","1","1","2","https://twitter.com/i/web/status/1015566034344898562"
"1017680952628338689","Fri Jul 13 08:03:41 +0000 2018","FFS that is NOT a RESTful service!","6","2","8","https://twitter.com/i/web/status/1017680952628338689"
"1016273047446343681","Mon Jul 09 10:49:10 +0000 2018","FFS fix the little things. Some are bigger than they appear.","76","23","99","https://twitter.com/i/web/status/1016273047446343681"
"1016351661948850176","Mon Jul 09 16:01:33 +0000 2018","FFS start working with your testers, rather than throwing crap across the fence at them","18","5","23","https://twitter.com/i/web/status/1016351661948850176"
"1016071319991939072","Sun Jul 08 21:27:35 +0000 2018","FFS ""Serverless"" does not mean there isn't a server - there will *ALWAYS* be a server, it's just that you don't hav… https://t.co/Ndp3Q5hmpa","27","6","33","https://twitter.com/i/web/status/1016071319991939072"
"1015558303634640896","Sat Jul 07 11:29:02 +0000 2018","FFS using DDD does not make you more relevant to business, it makes you sound pretentious and Execs giggle about it… https://t.co/lDT8Uibemw","2","1","3","https://twitter.com/i/web/status/1015558303634640896"
"1017904514375016449","Fri Jul 13 22:52:02 +0000 2018","FFS just talk. Stop assuming or guessing solutions. Conversations are free. There's no shame in admitting a lack of… https://t.co/xImsZOl6tN","1","1","2","https://twitter.com/i/web/status/1017904514375016449"
"1016256752499687425","Mon Jul 09 09:44:25 +0000 2018","FFS you can’t validate market demand with 5 user interviews","7","1","8","https://twitter.com/i/web/status/1016256752499687425"
"1015916769729445888","Sun Jul 08 11:13:27 +0000 2018","FFS the tech industry is a fashion industry","4","1","5","https://twitter.com/i/web/status/1015916769729445888"
"1015941189143547904","Sun Jul 08 12:50:29 +0000 2018","FFS not Jenkins - use a CI server that really groks pipelines and just does one thing well","4","2","6","https://twitter.com/i/web/status/1015941189143547904"
"1016260320426221568","Mon Jul 09 09:58:36 +0000 2018","FFS if you want admin to the box, you can fucking fix it when you break it #ffstechconf","7","1","8","https://twitter.com/i/web/status/1016260320426221568"
"1015662725957947392","Sat Jul 07 18:23:58 +0000 2018","FFS you get the behaviour you reward. If all you measure is velocity, you will get the fastest turd your team can ship","31","16","47","https://twitter.com/i/web/status/1015662725957947392"
"1016458708375801856","Mon Jul 09 23:06:55 +0000 2018","FFS being a facilitator DOES NOT MEAN you stand up in front of people and take over! Give them purpose and some gui… https://t.co/zcRqHx7l6f","7","2","9","https://twitter.com/i/web/status/1016458708375801856"
"1016696784712806402","Tue Jul 10 14:52:57 +0000 2018","FFS our disdain for certification, professional qualifications and common standards is great for job security but i… https://t.co/eEA0Og8L2u","0","2","2","https://twitter.com/i/web/status/1016696784712806402"
"1015704999660318720","Sat Jul 07 21:11:57 +0000 2018","FFS Agile is the tyranny of the loud!","2","1","3","https://twitter.com/i/web/status/1015704999660318720"
"1015687162833129474","Sat Jul 07 20:01:04 +0000 2018","FFS don't separate front-end and back-end development.","15","1","16","https://twitter.com/i/web/status/1015687162833129474"
"1016083317400059904","Sun Jul 08 22:15:15 +0000 2018","FFS bandwidth is a function of money, latency is a function of physics.  https://t.co/0UOHqGLgjL","5","1","6","https://twitter.com/i/web/status/1016083317400059904"
"1015566147285024768","Sat Jul 07 12:00:12 +0000 2018","FFS DevOps is not a role or a team","9","1","10","https://twitter.com/i/web/status/1015566147285024768"
"1016151282950656000","Mon Jul 09 02:45:19 +0000 2018","FFS ""agile"" and ""process"" are antonyms… Agile Process is an oxymoron

 https://t.co/UpXRxTa9HU","1","1","2","https://twitter.com/i/web/status/1016151282950656000"
"1016075098242109442","Sun Jul 08 21:42:35 +0000 2018","you can't throw your data at a wall and expect that magic answers will fall out in an instant. You're… https://t.co/fF9WR1nBHQ","6","5","11","https://twitter.com/i/web/status/1016075098242109442"
"1015692624043356160","Sat Jul 07 20:22:46 +0000 2018","FFS Why did it take a decade for people to wake up to DDD?","5","1","6","https://twitter.com/i/web/status/1015692624043356160"
"1017163541089013760","Wed Jul 11 21:47:40 +0000 2018","FFS that's NOT big data","10","1","11","https://twitter.com/i/web/status/1017163541089013760"
"1015645279415099393","Sat Jul 07 17:14:39 +0000 2018","FFS, choosing a new tech stack for every project doesn’t make you more productive!","5","2","7","https://twitter.com/i/web/status/1015645279415099393"
"1016562944144887808","Tue Jul 10 06:01:07 +0000 2018","clears throat for a retry since it was politely requested*

FFS how does anyone think we deserve ""sex robots"" when… https://t.co/r5DASCUWgl","29","8","37","https://twitter.com/i/web/status/1016562944144887808"
"1015899571032117248","Sun Jul 08 10:05:06 +0000 2018","FFS nobody needs another build tool","1","1","2","https://twitter.com/i/web/status/1015899571032117248"
"1016338596373020672","Mon Jul 09 15:09:38 +0000 2018","FFS do not treat your corporate network as this holy site filled with unicorns and rainbows where secu… https://t.co/e9qlRnr9lS","2","2","4","https://twitter.com/i/web/status/1016338596373020672"
"1016426275261566976","Mon Jul 09 20:58:02 +0000 2018","FFS fix your shit so we can get some NEW issues into the OWASP Top 10.","4","2","6","https://twitter.com/i/web/status/1016426275261566976"
"1016643346171695104","Tue Jul 10 11:20:36 +0000 2018","FFS we can’t “make it like Facebook/Google Maps/Netflix/Spotify/Uber/Apple” for your budget, do you kn… https://t.co/futIm2AeGu","7","1","8","https://twitter.com/i/web/status/1016643346171695104"
"1015628049109405697","Sat Jul 07 16:06:11 +0000 2018","FFS you call that code? How to mock code effectively.","11","1","12","https://twitter.com/i/web/status/1015628049109405697"
"1015648777833795584","Sat Jul 07 17:28:33 +0000 2018","FFS continuous integration means integrating continuously","11","1","12","https://twitter.com/i/web/status/1015648777833795584"
"1017091107308654593","Wed Jul 11 16:59:51 +0000 2018","FFS keep your CV to two pages or less. I don’t give a shit what you did in 1986","27","2","29","https://twitter.com/i/web/status/1017091107308654593"
"1015747483660627969","Sun Jul 08 00:00:46 +0000 2018","FFS...STOP estimating software and start talking to your business partners!","4","1","5","https://twitter.com/i/web/status/1015747483660627969"
"1015961972993675264","Sun Jul 08 14:13:04 +0000 2018","FFS Android Bluetooth! Can you please just f***ing work???","1","0","1","https://twitter.com/i/web/status/1015961972993675264"
"1016085545741619200","Sun Jul 08 22:24:06 +0000 2018","FFS why are you using svn?","0","0","0","https://twitter.com/i/web/status/1016085545741619200"
"1016337933325004800","Mon Jul 09 15:07:00 +0000 2018","FFS making it against policy doesn't make it go away","5","1","6","https://twitter.com/i/web/status/1016337933325004800"
"1017330809055907841","Thu Jul 12 08:52:20 +0000 2018","FFS programmers are problem solvers. Give them business problems to solve and food and drink, and kee… https://t.co/QFdiiGNKNZ","5","2","7","https://twitter.com/i/web/status/1017330809055907841"
